Filename, Label, Confidence, Scene Category
10097b20_20250130150555.440632.jpg, indoor, 0.20, science_museum
100e6176_20250129124622.958966.jpg, indoor, 0.26, staircase
100e48d5_20241218120036.568264.jpg, indoor, 0.26, auto_factory
100f5d14_20241209090016.853343.jpg, outdoor, 0.08, parking_lot
1003bd3c_20241218150003.798435.jpg, indoor, 0.20, storage_room
10043e76_20250130000803.108287.jpg, indoor, 0.19, elevator_shaft
1009b1fa_20241216120212.133647.jpg, indoor, 0.19, beauty_salon
100f3daa_20250130180013.406933.jpg, indoor, 0.14, repair_shop
1003e6af_20250131210039.331015.jpg, indoor, 0.28, office
10063e13_20250127150010.724211.jpg, indoor, 0.93, office_cubicles
1003f5f7_20241209000203.592296.jpg, indoor, 0.64, science_museum
10020ab9_20241218150011.947635.jpg, indoor, 0.29, corridor
10010d22_20241216000033.414910.jpg, outdoor, 0.22, courtyard
101006e5_20241231210325.882635.jpg, indoor, 0.34, operating_room
1008b47b_20241207180024.659302.jpg, indoor, 0.31, beauty_salon
100ea754_20241218150812.297611.jpg, outdoor, 0.97, playground
1008a4c6_20241218000214.815243.jpg, indoor, 0.45, library/indoor
10065927_20241231180102.312636.jpg, indoor, 0.24, lobby
100873a4_20241211210031.540349.jpg, indoor, 0.36, operating_room
100f27fa_20250129180054.564176.jpg, indoor, 0.37, home_office
1003c7d2_20241231180000.391913.jpg, indoor, 0.63, assembly_line
101045b1_20241216090231.446526.jpg, indoor, 0.36, physics_laboratory
1008a99d_20241218155948.955632.jpg, indoor, 0.23, office_cubicles
100c2224_20241231205637.089940.jpg, indoor, 0.13, auto_factory
100be8b0_20241216120010.029288.jpg, indoor, 0.21, assembly_line
100d4372_20241218210019.233831.jpg, indoor, 0.42, assembly_line
100e3d0d_20250129150059.265903.jpg, indoor, 0.46, waiting_room
100e3c8d_20241231180010.904834.jpg, indoor, 0.35, beauty_salon
1010829c_20241218180000.118924.jpg, indoor, 0.21, art_studio
100a33e9_20241215060001.482503.jpg, indoor, 0.33, engine_room
1001d682_20241209180304.280313.jpg, indoor, 0.25, storage_room
100b9830_20250130180018.398184.jpg, indoor, 0.09, science_museum
100b50d0_20250129150001.885008.jpg, indoor, 0.34, recreation_room
1006e8ce_20241207180013.939645.jpg, indoor, 0.24, hardware_store
100ed742_20250131210022.999284.jpg, indoor, 0.45, garage/indoor
100fb940_20241209120021.090947.jpg, outdoor, 0.55, kennel/outdoor
1002db4f_20241209000150.841634.jpg, indoor, 0.23, science_museum
1006c921_20250127091538.631982.jpg, indoor, 0.56, clean_room
10025600_20241216120001.712293.jpg, indoor, 0.37, engine_room
1006b493_20241216060257.954454.jpg, indoor, 0.36, cockpit
10046f56_20241207030506.329299.jpg, indoor, 0.57, assembly_line
1005d7e6_20241231120002.816782.jpg, indoor, 0.18, auto_factory
100c9501_20250130210018.747347.jpg, indoor, 0.37, engine_room
100a14a9_20250129151947.693976.jpg, indoor, 0.23, clean_room
10091cbe_20250130130017.428307.jpg, indoor, 0.21, elevator_shaft
1006dfd2_20241209150001.342515.jpg, indoor, 0.48, assembly_line
100e4865_20241218150022.939297.jpg, indoor, 0.64, assembly_line
10081bb7_20241231210126.217644.jpg, indoor, 0.57, locker_room
1008d567_20241218000046.683610.jpg, indoor, 0.16, repair_shop
100ffd6f_20250130150511.733645.jpg, indoor, 0.24, locker_room
100a9ff1_20241215000001.301968.jpg, indoor, 0.32, hardware_store
1009c444_20241216120758.129970.jpg, indoor, 0.61, server_room
100bbc9c_20241216060750.429615.jpg, outdoor, 0.28, construction_site
100889b0_20241231000002.565918.jpg, indoor, 0.36, science_museum
100fda47_20241231150401.341963.jpg, indoor, 0.17, hangar/indoor
100afbc7_20241218180020.939000.jpg, indoor, 0.53, bank_vault
10012fe7_20241231120000.471000.jpg, indoor, 0.42, gymnasium/indoor
100c3df0_20250130210121.242000.jpg, indoor, 0.19, shoe_shop
10090d68_20241216210240.525939.jpg, indoor, 0.22, booth/indoor
100826ef_20250130150209.285840.jpg, indoor, 0.41, auto_factory
1003a1fe_20241209120046.566956.jpg, indoor, 0.32, mezzanine
100f1e2a_20241209000327.987989.jpg, indoor, 0.17, engine_room
100a9239_20250129180044.640271.jpg, indoor, 0.55, kindergarden_classroom
10021b9a_20241207030236.047521.jpg, outdoor, 0.59, loading_dock
100f5674_20241209180025.471065.jpg, indoor, 0.15, archive
100f7c55_20241216180042.333641.jpg, indoor, 0.17, medina
1005f09a_20241216090016.173624.jpg, indoor, 0.43, amusement_arcade
100d63c1_20241215090018.856344.jpg, indoor, 0.62, locker_room
100b1518_20250130203607.891712.jpg, indoor, 0.26, chemistry_lab
100c0b4e_20241218000159.261828.jpg, indoor, 0.20, office_cubicles
100af963_20241216060453.527640.jpg, indoor, 0.21, lobby
10103f6b_20241209180101.202295.jpg, outdoor, 0.11, patio
1008e678_20250129000000.243203.jpg, indoor, 0.35, amusement_arcade
100d9d3c_20241209030041.914499.jpg, indoor, 0.56, office_cubicles
1004d907_20241211120917.276637.jpg, indoor, 0.29, office_cubicles
100fe9e9_20250131180038.415637.jpg, indoor, 0.25, clean_room
1000fb53_20250129210954.636307.jpg, indoor, 0.29, corridor
1006140b_20241211210016.332315.jpg, indoor, 0.21, hangar/indoor
100eb1be_20250130090007.824920.jpg, indoor, 0.11, server_room
100e74ab_20250127210014.114059.jpg, indoor, 0.23, home_office
100ec970_20241218180600.784635.jpg, indoor, 0.15, science_museum
100e9bc8_20250127150302.062222.jpg, indoor, 0.22, archive
100e9779_20241215210015.738079.jpg, indoor, 0.24, flea_market/indoor
10045e32_20241216000013.171959.jpg, indoor, 0.13, science_museum
100a7981_20250127180006.129734.jpg, indoor, 0.30, jewelry_shop
